"CountryName","iso2","Year","scale20","S_GDPpercapitaUS","S_RealGDPgrowth","S_NetGGdebtGDP","S_GGbalanceGDP","S_NarrownetextdebtCARs","S_CurrentaccountbalanceGDP","ln_S_GDPpercapitaUS","ln_S_GDPpercapitaUS_Z","S_RealGDPgrowth_Z"
"Angola","AO",2020,5,2831.72177120953,0.12638400793,72.2259028112884,-0.246072331150468,102.793687682026,2.48420576920753,7.94864020535789,7.94864020535789,0.12638400793
"Argentina","AR",2020,2,9964.82071395984,0.000763457827270031,87.8186281329721,-4.87334104996347,184.41346524416,-0.355024931526649,9.20681624091052,9.20681624091052,0.000763457827270031
"Bangladesh","BD",2020,8,1745.41897017775,-0.20813808441,30.5675531000265,-5.14184784902455,56.633826295892,-3.01051480985989,7.4647499033408,7.4647499033408,-0.20813808441
"Brazil","BR",2020,8,8654.29031818633,-0.0044694043696,61.7364968692723,-6.05336590685467,3.5660050554731,-3.12860831897969,9.06581046750505,9.06581046750505,-0.0044694043696
"Canada","CA",2020,20,46355.3249028093,0.000421739090234041,37.9616718332775,-1.06398055278356,115.123133791251,-2.29589581994574,10.7440914490298,10.7440914490298,0.000421739090234041
"China","CN",2020,16,9966.40436391661,-0.029308238626,53.7929818424179,-3.21810485235371,-66.2691168697826,-0.0805585162678563,9.20697515236267,9.20697515236267,-0.029308238626
"Colombia","CO",2020,11,6553.81460368966,0.0050142563879,40.6617055838963,-1.98555958600743,109.876527616334,-4.2243777586841,8.78780254135327,8.78780254135327,0.0050142563879
"Congo D.R.","CD",2020,4,599.674334565607,0.12638400793,10.9859028112884,-0.546072331150467,14.2536876820255,-4.08579423079247,6.39638673213609,6.39638673213609,0.12638400793
"Egypt","EG",2020,6,3073.65091981105,-0.054422402382,78.9358890260285,-8.48660500595763,83.8916802990525,-3.12658141950001,8.03062135870783,8.03062135870783,-0.054422402382
"India","IN",2020,11,2132.13035081517,-0.017929404974,71.3625309730417,-7.59151263884274,14.3445232072834,-2.38603264578537,7.66487692357396,7.66487692357396,-0.017929404974
"Indonesia","ID",2020,12,4139.63767622781,-0.035774037242,28.7038093238528,-2.33441704853323,106.19743484418,-3.17139398559325,8.32836354517008,8.32836354517008,-0.035774037242
"Japan","JP",2020,16,40634.2987698774,-0.0039166405797,150.701311761916,-2.96228330996061,-74.8905663302589,3.12285165661973,10.6123677862371,10.6123677862371,-0.0039166405797
"Korea","KR",2020,18,31935.5699624409,-0.011100675911,6.57113254288144,0.323201400342929,-46.6465018777097,2.70340759342108,10.3714757134156,10.3714757134156,-0.011100675911
"Malaysia","MY",2020,14,11203.2105151519,-0.037189304829,59.0521717538867,-3.63810712006435,28.508215817285,1.56392574314575,9.32395566934458,9.32395566934458,-0.037189304829
"Mexico","MX",2020,13,9959.26692884135,0.000870550330728292,42.5176765922406,-2.49314106478047,37.4104434816794,-1.6847524615407,9.20625874634797,9.20625874634797,0.000870550330728292
"Morocco","MA",2020,11,3340.49204748035,0.02476426512,50.9516480760773,-3.8134144692119,27.2789053458736,-5.04928151959902,8.11387339472517,8.11387339472517,0.02476426512
"Nigeria","NG",2020,6,1897.77136283465,-0.0077327623963,17.0677392748206,-3.86987290436802,51.186091218835,1.00265020312652,7.54843550976127,7.54843550976127,-0.0077327623963
"Pakistan","PK",2020,5,1380.81880799937,0.019437851012,77.038797787081,-9.05145973592329,164.723402898865,-5.11075385281201,7.23043194132516,7.23043194132516,0.019437851012
"Poland","PL",2020,14,15426.7057815859,-0.0086878977716,44.8970898029866,-1.67181516047513,38.4661227457621,-1.17994806235028,9.64385542817556,9.64385542817556,-0.0086878977716
"Russia","RU",2020,11,11448.5259913898,0.0060096152127,3.91330782111788,1.25621658826348,-69.0399758287269,4.47806592160924,9.34561626631897,9.34561626631897,0.0060096152127
"South Africa","ZA",2020,9,6021.99995488122,-0.0016935775056,58.4207671342051,-6.15798606041938,50.8638878269137,-4.17133682902562,8.70317470154935,8.70317470154935,-0.0016935775056
"Turkey","TR",2020,7,9060.83653092099,-0.007238534838,29.1829378248562,-3.36887464564925,115.550683702071,-0.326012437486807,9.11171672710589,9.11171672710589,-0.007238534838
"United States","US",2020,19,64847.5832007528,-0.000707269972190261,83.3718089490772,-5.07610835001365,317.205365744843,-1.66878911724684,11.0797949215213,11.0797949215213,-0.000707269972190261
"Vietnam","VN",2020,9,2716.24582708405,-0.0091372549534,43.9215215492509,-4.7727348881697,24.6003684129799,1.85882328244829,7.90700599529115,7.90700599529115,-0.0091372549534
"Ethiopia","ET",2020,5,1068.80155485045,-0.032532665133,28.8526664319067,-2.98612828468451,235.201546197281,-5.89083723631383,6.9742932575441,6.9742932575441,-0.032532665133
"Madagascar","MG",2020,1,490.260346845449,-0.10554507971,55.617128386306,-6.63109205315777,102.874080548154,-4.81190499469356,6.19493657009688,6.19493657009688,-0.10554507971
