"","iso2","country.x","actual","est_baseline","est_BAU","est_lower_BAU","est_upper_BAU","est_TP","est_lower_TP","est_upper_TP","loss_BAU","loss_TP","baseline_PD","TP_PD","BAU_PD","deltaPD_TP","deltaPD_BAU","country.y","SovereignDebt","deltaTP","deltaBAU","lower_bound_cost_debt","upper_bound_cost_debt","TP_spread","baseline_spread","delta_spread","OAS_costofdebt_sov","Year","Median.income.or.consumption","Population..historical.","per_capita_increase_in_cod","per_capita_increase_in_cod_prop_to_annual_income","mymean"
"11","MG","Madagascar",1,5.60426666666667,5.558475,4.8982929260303,6.2186570739697,2.85586666666667,2.18187589007341,3.52985744325992,-1.0554507971,-157.32687378,12.2285094345842,42.4377288502845,12.435057601927,30.2092194157004,0.206548167342847,"Madagascar",1.227743573,2.7484,0.0457916666666707,0.00269946434882656,0.00404919652323984,7.58502316595244,5.20221338353889,2.38280978241355,0.0292547939603977,2012,1.1187238,23462444,1.24687751882957,0.313076823835561,0.313076823835561
"12","EG","Egypt",6,5.97686666666667,5.811975,5.15069217856433,6.47325782143568,5.64941666666667,5.22279657464698,6.07603675868636,-0.54422402382,-4.1618518829,10.7719982376855,12.0310966710255,11.369477355607,1.25909843333999,0.597479117921582,"Egypt",292.4155315,0.32745,0.164891666666669,0.0766011726317399,0.11490175894761,5.1681894069898,4.92616456813487,0.242024838854928,0.707718218899655,2019,5.422779,107553159,6.58017138203867,0.340851572185345,0.340851572185345
"13","VN","Vietnam",9,8.52524166666667,8.066525,7.39581281439727,8.73723718560273,6.10125,5.67408948829549,6.52841051170451,-0.091372549534,-8.6627120972,7.07441048456925,10.3665163988727,7.31189377995174,3.29210591430343,0.237483295382487,"Vietnam",107.8601201,2.42399166666667,0.458716666666669,0.209161625830453,0.313742438745679,4.83639480416884,3.31463443922683,1.52176036494201,1.64137255726065,2022,11.452532,99680656,16.466309744798,0.40387295192383,0.40387295192383
"14","CO","Colombia",11,10.5121583333333,10.1574166666667,9.48711345788218,10.8277198754512,8.98188333333333,8.53084051546523,9.43292615120143,0.050142563879,-1.8436008692,6.16029165437758,6.88451656607713,6.36522363461621,0.72422491169955,0.204931980238626,"Colombia",188.4996214,1.53027499999997,0.3547416666666,0.230765006510303,0.346147509765455,3.07416736406384,2.36741646245198,0.706750901611859,1.33222277377944,2022,9.6840725,51737944,25.7494339894806,0.746895180276354,0.746895180276354
"15","ZA","South Africa",9,8.33541666666667,7.999825,7.33444574070495,8.66520425929505,7.86400833333333,7.42334936756992,8.30466729909675,-0.016935775056,-0.26197063923,7.16434004389303,7.4445862155651,7.35324392877702,0.280246171672072,0.188903884883993,"South Africa",271.0738541,0.471408333333341,0.33559166666667,0.102229179017221,0.153343768525831,3.68805548831407,3.41874912148082,0.269306366833244,0.73001914791156,2014,4.7534223,55594838,13.1310599000497,0.775967237736078,0.775967237736078
"16","BD","Bangladesh",8,7.96018333333333,6.40295833333333,5.74165538878406,7.06426127788261,3.88881666666667,3.45798865602497,4.31964467730836,-2.0813808441,-15.437130928,7.37887148068075,25.7936876535515,9.52754430474843,18.4148161728708,2.14867282406768,"Bangladesh",82.18184306,4.07136666666666,1.557225,0.267673933151772,0.401510899727658,6.61574665853604,3.63185632337188,2.98389033516416,2.45221607232712,2022,4.7816916,169384890,14.4771831320203,0.850457289066197,0.850457289066197
"17","BR","Brazil",8,8.244725,8.33885833333333,7.67660875634698,9.00110791031969,7.07565833333333,6.63902821836164,7.51228844830503,-0.044694043696,-3.6735727787,7.21105862489372,8.24901009643939,7.16262012060758,1.03795147154567,-0.0484385042861462,"Brazil",1337.911872,1.16906666666667,-0.0941333333333301,1.25128653799424,1.87692980699137,4.17350200709928,3.46936319854475,0.704138808554535,9.42075671501048,2022,12.991237,210306411,44.7953853152412,0.96857392434282,0.96857392434282
"18","CN","China",16,15.1035833333333,12.7129583333333,11.5633894307133,13.8625272359534,9.51704166666667,9.09791336566937,9.93616996766396,-0.29308238626,-3.1422388554,2.13601974962456,6.66911359467958,4.27758581216901,4.53309384505502,2.14156606254445,"China",4016.166946,5.58654166666663,2.390625,17.9491871872946,26.9237807809419,2.80995518974646,1.05649010041261,1.75346508933385,70.4220853274754,2021,12.008236,1426437276,49.3692127318435,1.15485375082146,1.15485375082146
"19","AO","Angola",5,5.70073333333333,6.26910833333333,5.28203540680889,7.25618125985777,3.92876666666667,3.50084711996027,4.35668621337306,1.2638400793,-19.465463638,11.8140649480625,25.3058045830371,9.87589177743686,13.4917396349746,-1.93817317062566,"Angola",35.21806108,1.77196666666666,-0.568375,0.0499241842387124,0.0748862763580685,6.58008403064689,5.12971123032182,1.45037280032508,0.510793178706192,2018,3.4205022,31297160,16.3207517457236,1.34029465832545,1.34029465832545
"20","MA","Morocco",11,10.3029,9.67249166666667,9.00427902121992,10.3407043121134,7.40258333333333,6.97623328772081,7.82893337894586,0.2476426512,-2.6140401363,6.28473692834762,7.8472059982802,6.60177902252003,1.56246906993258,0.317042094172417,"Morocco",83.87349514,2.90031666666667,0.63040833333333,0.194607756676902,0.291911635015353,3.96678055561947,2.45533538349248,1.51144517212699,1.26770189298769,2013,7.7121487,33787573,37.5197677852651,1.36657902016834,1.36657902016834
"21","ID","Indonesia",12,10.7762916666667,8.993,8.0669780214289,9.9190219785711,6.796175,6.37133232428358,7.22101767571642,-0.35774037242,-6.8281722069,5.98800845903112,8.69526182071021,6.88011983525997,2.70725336167909,0.892111376228845,"Indonesia",469.813779,3.9801166666667,1.7832916666667,1.49593092162205,2.24389638243308,4.35640635439987,2.26026000678737,2.0961463476125,9.84798436908878,2023,5.7831755,281190068,35.0225185374925,1.70110454127446,1.70110454127446
"22","MY","Malaysia",14,13.308875,12.5896166666667,11.6072526057303,13.571980727603,6.93191666666667,6.2177554860877,7.64607784724564,-0.37189304829,-4.2177619934,3.67408374592961,8.46523920431667,4.40203432617172,4.79115545838706,0.727950580242113,"Malaysia",254.5751933,6.37695833333333,0.7192583333333,1.2987323202995,1.94809848044925,4.26685502097885,1.43683191999118,2.83002310098766,7.204536779774,2021,25.865078,34282405,210.152606848148,2.28229086094851,2.28229086094851
"23","IN","India",11,10.4046833333333,9.17985,8.51780383937074,9.84189616062926,5.96386666666667,5.54219953775608,6.38553379557726,-0.17929404974,-3.9340577126,6.22551273001556,10.8165590873262,6.80635539153263,4.59104635731065,0.580842661517075,"India",1944.86179,4.44081666666663,1.2248333333333,6.90941972111608,10.3641295816741,4.93561536992712,2.41223522931234,2.52338014061478,49.0762561712652,2021,3.9418383,1414203889,34.7023909020414,2.47292300471406,2.47292300471406
