"iso2","country","actual","est_baseline","est_BAU","est_lower_BAU","est_upper_BAU","est_TP","est_lower_TP","est_upper_TP","loss_BAU","loss_TP","baseline_PD","TP_PD","BAU_PD","deltaPD_TP","deltaPD_BAU"
"AR","Argentina",2,3.93265,5.37845833333333,3.80905753478533,6.94785913188134,5.63464166666667,5.21010124043097,6.05918209290237,0.00763457827270031,-2.4515075684,25.2589206779155,12.0950251673714,13.3117184625629,-13.1638955105441,-11.9472022153526
"BD","Bangladesh",8,7.96018333333333,6.40295833333333,5.74165538878406,7.06426127788261,3.88881666666667,3.45798865602497,4.31964467730836,-2.0813808441,-15.437130928,7.37887148068075,25.7936876535515,9.52754430474843,18.4148161728708,2.14867282406768
"BR","Brazil",8,8.244725,8.33885833333333,7.67660875634698,9.00110791031969,7.07565833333333,6.63902821836164,7.51228844830503,-0.044694043696,-3.6735727787,7.21105862489372,8.24901009643939,7.16262012060758,1.03795147154567,-0.0484385042861462
"CA","Canada",20,19.4525916666667,19.2262,18.5629609176918,19.8894390823082,19.073325,18.6494318438964,19.4972181561036,0.00421739090234041,-0.6195088625,0.521748322816112,0.915162093651684,0.777245468973174,0.393413770835572,0.255497146157062
"CN","China",16,15.1035833333333,12.7129583333333,11.5633894307133,13.8625272359534,9.51704166666667,9.09791336566937,9.93616996766396,-0.29308238626,-3.1422388554,2.13601974962456,6.66911359467958,4.27758581216901,4.53309384505502,2.14156606254445
"CO","Colombia",11,10.5121583333333,10.1574166666667,9.48711345788218,10.8277198754512,8.98188333333333,8.53084051546523,9.43292615120143,0.050142563879,-1.8436008692,6.16029165437758,6.88451656607713,6.36522363461621,0.72422491169955,0.204931980238626
"EG","Egypt",6,5.97686666666667,5.811975,5.15069217856433,6.47325782143568,5.64941666666667,5.22279657464698,6.07603675868636,-0.54422402382,-4.1618518829,10.7719982376855,12.0310966710255,11.369477355607,1.25909843333999,0.597479117921582
"ET","Ethiopia",5,7.81498333333333,7.45163333333333,6.78140853119751,8.12185813546915,6.28710833333333,5.86326407622237,6.7109525904443,-0.32532665133,-12.395530701,7.48015659384322,9.82691373872773,7.79628468125874,2.34675714488451,0.316128087415519
"ID","Indonesia",12,10.7762916666667,8.993,8.0669780214289,9.9190219785711,6.796175,6.37133232428358,7.22101767571642,-0.35774037242,-6.8281722069,5.98800845903112,8.69526182071021,6.88011983525997,2.70725336167909,0.892111376228845
"IN","India",11,10.4046833333333,9.17985,8.51780383937074,9.84189616062926,5.96386666666667,5.54219953775608,6.38553379557726,-0.17929404974,-3.9340577126,6.22551273001556,10.8165590873262,6.80635539153263,4.59104635731065,0.580842661517075
"JP","Japan",16,16.0580416666667,16.0491166666667,15.3871841024646,16.7110492308688,15.9945166666667,15.5697418899058,16.4192914434275,-0.039166405797,-0.62992399931,1.67196525093742,1.69393501317619,1.67497816495757,0.0219697622387691,0.00301291402014914
"KR","South Korea",18,17.5841833333333,17.3588583333333,16.6951522760218,18.0225643906449,17.051075,16.6239325404374,17.4782174595626,-0.11100675911,-1.2146773338,1.4163665347246,1.46534282281953,1.43600805595909,0.0489762880949245,0.0196415212344836
"MA","Morocco",11,10.3029,9.67249166666667,9.00427902121992,10.3407043121134,7.40258333333333,6.97623328772081,7.82893337894586,0.2476426512,-2.6140401363,6.28473692834762,7.8472059982802,6.60177902252003,1.56246906993258,0.317042094172417
"MG","Madagascar",1,5.60426666666667,5.558475,4.8982929260303,6.2186570739697,2.85586666666667,2.18187589007341,3.52985744325992,-1.0554507971,-157.32687378,12.2285094345842,42.4377288502845,12.435057601927,30.2092194157004,0.206548167342847
"MX","Mexico",13,12.8673,12.9030583333333,12.2416958666848,13.5644207999818,12.8286083333333,12.4025479629958,13.2546687036708,0.00870550330728292,-0.85340380669,4.12108687426003,4.16036934056878,4.08476742621701,0.0392824663087472,-0.0363194480430176
"MY","Malaysia",14,13.308875,12.5896166666667,11.6072526057303,13.571980727603,6.93191666666667,6.2177554860877,7.64607784724564,-0.37189304829,-4.2177619934,3.67408374592961,8.46523920431667,4.40203432617172,4.79115545838706,0.727950580242113
