"country","iso2","baseline_PD","TP_PD","deltaPD_TP","BAU_PD","deltaPD_BAU"
"Angola","AO",11.8140649480625,25.3058045830371,13.4917396349746,9.87589177743686,-1.93817317062566
"Argentina","AR",25.2589206779155,12.0950251673714,-13.1638955105441,13.3117184625629,-11.9472022153526
"Bangladesh","BD",7.37887148068075,25.7936876535515,18.4148161728708,9.52754430474843,2.14867282406768
"Brazil","BR",7.21105862489372,8.24901009643939,1.03795147154567,7.16262012060758,-0.0484385042861462
"Canada","CA",0.521748322816112,0.915162093651684,0.393413770835572,0.777245468973174,0.255497146157062
"China","CN",2.13601974962456,6.66911359467958,4.53309384505502,4.27758581216901,2.14156606254445
"Colombia","CO",6.16029165437758,6.88451656607713,0.72422491169955,6.36522363461621,0.204931980238626
"Congo D.R.","CD",17.875476874482,31.9481550213803,14.0726781468983,16.912368639039,-0.963108235443006
"Egypt","EG",10.7719982376855,12.0310966710255,1.25909843333999,11.369477355607,0.597479117921582
"India","IN",6.22551273001556,10.8165590873262,4.59104635731065,6.80635539153263,0.580842661517075
"Indonesia","ID",5.98800845903112,8.69526182071021,2.70725336167909,6.88011983525997,0.892111376228845
"Japan","JP",1.67196525093742,1.69393501317619,0.0219697622387691,1.67497816495757,0.00301291402014914
"Korea","KR",1.4163665347246,1.46534282281953,0.0489762880949245,1.43600805595909,0.0196415212344836
"Malaysia","MY",3.67408374592961,8.46523920431667,4.79115545838706,4.40203432617172,0.727950580242113
"Mexico","MX",4.12108687426003,4.16036934056878,0.0392824663087472,4.08476742621701,-0.0363194480430176
"Morocco","MA",6.28473692834762,7.8472059982802,1.56246906993258,6.60177902252003,0.317042094172417
"Nigeria","NG",9.19861436132801,10.0984214540228,0.899807092694749,9.44804711752421,0.249432756196205
"Pakistan","PK",15.2562911480339,17.3038730379863,2.04758188995239,14.1725433554717,-1.08374779256224
"Poland","PL",3.03512954546426,2.91982137649011,-0.115308168974146,3.07233602209015,0.037206476625895
"Russia","RU",5.32750882007174,5.2809840798235,-0.0465247402482474,5.28059215381396,-0.04691666625778
"South Africa","ZA",7.16434004389303,7.4445862155651,0.280246171672072,7.35324392877702,0.188903884883993
"Turkey","TR",7.64522815930961,9.51825891800555,1.87303075869593,7.67883596542935,0.0336078061197345
"United States","US",1.18078066004825,1.31854623392137,0.137765573873122,1.30970632310336,0.128925663055103
"Vietnam","VN",7.07441048456925,10.3665163988727,3.29210591430343,7.31189377995174,0.237483295382487
"Ethiopia","ET",7.48015659384322,9.82691373872773,2.34675714488451,7.79628468125874,0.316128087415519
"Madagascar","MG",12.2285094345842,42.4377288502845,30.2092194157004,12.435057601927,0.206548167342847
